,icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
8032,71c246,HL8246,BOEING,Boeing,737NG 8SH/W,B738,41299,,L2J,,KOREANAIR,KAL,,Korean Air,,,,,,,,,False,False,False,,
8033,3c56e2,D-AEWB,AIRBUS,Airbus,Airbus A320 214SL,A320,6992,,L2J,,EUROWINGS,EWG,,Eurowings,,,,,,,,,False,False,False,,
8034,75026d,9M-NAB,AIRBUS,Airbus,ACJ320 214,A320,4199,,L2J,Jet Premier One (m) Sdn. Bhd.,,,,Jet Premier One (m) Sdn. Bhd.,,,,,,,,,False,False,False,Used by the Malaysian Heads of State,
8035,4bab22,TC-JYB,BOEING,Boeing,737NG 9F2ER/W,B739,40974,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,False,False,False,,
8036,750216,9M-MSG,BOEING,Boeing,737NG 8H6/W,B738,40149,,L2J,,MALAYSIAN,MAS,,Malaysia Airlines,,,,,,,,,False,False,False,,
8037,aa3e5b,N75939,STEARMAN,Boeing,Stearman B75N1 N2S-3 Kaydet,ST75,75-1266,,L1P,,,,,Private,,,,,,,,,False,False,False,,
8038,acca85,N923NK,AIRBUS,Airbus,A320-271N,A20N,9342,,L2J,Spirit Airlines,SPIRIT WINGS,NKS,NK,Bank Of Utah Trustee,,,2029-12-31,,2019-01-01,,,IAE PW1127G-JM,False,False,False,,
8039,5081b7,UR-DNH,BOEING,Boeing,737 5Y0,B735,24696,,L2J,,DNIEPRO,UDN,,Dniproavia,,,,,,,,,False,False,False,,
8040,ae11d6,75-0556,BOEING,Boeing,E-3B Sentry,E3TF,21047,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,,,,,,,False,False,False,,Reserved
8041,8470a0,JA16AN,BOEING,Boeing,737NG 781/W,B737,33889,,L2J,,AIR DO,ADO,,Air Do,,,,,,,,,False,False,False,,
8042,4ac9e8,SE-ROH,AIRBUS,Airbus,A320-251N,A20N,9173,0,L2J,Scandinavian Airlines System (sas) - Sweden,SCANDINAVIAN,SAS,,Sas Scandinavian Airlines,,,,,,,,CFMI LEAP-1A26,False,False,False,,
8043,a04a4d,N118DY,AIRBUS,Airbus,A321-211,A321,10140,,L2J,Delta Air Lines,DELTA,DAL,DL,Delta Air Lines Inc,,,2028-05-31,,2021-01-01,,,CFM INTL CFM56-5B3/3,False,False,False,,
8044,a63afb,N500LS,BOEING,Boeing,Boeing 737NG 73T/W BBJ,B737,29054,,L2J,,,,,Hayes Productions Llc,,,,,,,,,False,False,False,,
8045,780ee5,B-8236,AIRBUS,Airbus,A320 214SL,A320,6808,,L2J,,JUNEYAO AIRLINES,DKH,,Juneyao Airlines,,,,,,,,,False,False,False,,
8046,e48b01,PR-GUV,BOEING,Boeing,Boeing 737-8EH,B738,39609,4283,L2J,Gol Transportes Aéreos,GOL,GLO,G3,Gol Transportes Aéreos,,,,,,,,,False,False,False,aerococus.com,No ADS-B Emitter Category Information
8047,064179,5N-BQM,BOEING,Boeing,737 5Q8,B735,28055,3024,L2J,Med-view Airlines,,MEV,,Med-view Airlines,,2013-08-08,,,1998-01-01,,,,False,False,False,,
8048,a77999,N58095,STEARMAN,Boeing,Stearman A75N1 PT-17 Kaydet,ST75,75-4386,,L1P,,,,,Private,,,,,,,,,False,False,False,,
8049,010194,SU-BSN,AIRBUS,Airbus,Airbus A320 214,A320,3840,,L2J,Air Cairo,,MSC,,Air Cairo,,,,,,,,,False,False,False,,
8050,a2cb14,N27959,BOEING,Boeing,787-9,B789,36407,,L2J,,UNITED,UAL,,United Airlines Inc,,,2028-09-30,,2015-01-01,,,GE GENX-1B74/75/,False,False,False,,
8051,8961ef,A6-EHL,AIRBUS,Airbus,Airbus A340 642X,A346,1040,,L4J,,ETIHAD,ETD,,Etihad Airways,,,,,,,,,False,False,False,,
8052,ace96a,N931AK,BOEING,Boeing,737-9,B39M,43353,,L2J,,,,,Bank Of Utah Trustee,,,2028-12-31,,2021-01-01,,,CFM INTL LEAP-1B28 SER,False,False,False,,
8053,040062,ET-APU,BOEING,Boeing,777 F6N,B77L,41817,1054,L2J,Ethiopian Airlines,ETHIOPIAN,ETH,ET,Ethiopian Airlines,,2012-11-02,,,2012-01-01,,,,False,False,False,,
8054,495148,CS-TJH,AIRBUS,Airbus,A321 212,A321,2270,,L2J,,AIR PORTUGAL,TAP,,Tap Portugal,,,,,,,,,False,False,False,,
8055,06a140,A7-BFG,BOEING,Boeing,Boeing 777-FDZ,B77L,42299,1238,L2J,Qatar Airways Cargo,QATARI,QTR,,Qatar Airways,,2014-09-30,,,2014-01-01,,,,False,False,False,,No ADS-B Emitter Category Information
8056,7810ab,B-8841,AIRBUS,Airbus,A320 214SL,A320,7302,,L2J,,,,,Tibet Airlines,,,,,,,,,False,False,False,,
8057,4b1905,HB-JMJ,AIRBUS,Airbus,Airbus A340 313X,A343,150,,L4J,,Swissair,SWR,,Swiss International Air Lines,,,,,,,,,False,False,False,,
8058,e80210,CC-CWV,BOEING,Boeing,767 316ER/W,B763,35230,,L2J,,LAN,LAN,,Latam Airlines,,,,,,,,,False,False,False,,
8059,e48e81,PT-MSS,BOEING,Boeing,767 316ER/W,B763,41748,,L2J,,TAM,TAM,,Latam Brasil,,,,,,,,,False,False,False,,
8060,471f91,HA-LYV,AIRBUS,Airbus,A320 232,A320,3741,,L2J,,WIZZ AIR,WZZ,,Wizz Air,,,,,,,,,False,False,False,,
8061,0d0775,XA-IUA,AIRBUS,Airbus,A320 214SL,A320,5653,,L2J,Interjet,INTERJET,MTF,,Interjet,,,,,,,,,False,False,False,,
8062,780d55,B-1741,BOEING,Boeing,737NG 86D/W,B738,39314,,L2J,,SHANGHAI AIR,CSH,,Shanghai Airlines,,,,,,,,,False,False,False,,
8063,51402c,4L-TGM,BOEING,Boeing,737NG 76N/W,B737,29904,,L2J,,TAMAZI,TGZ,,Airzena Georgian Airways,,,,,,,,,False,False,False,,
8064,acf8c9,N935FR,AIRBUS,Airbus,Airbus A319 111,A319,2318,,L2J,,FRONTIER FLIGHT,FFT,,Frontier Airlines,,,,,,,,,False,False,False,,
8065,0ac03c,HK-4253,BOEING,Boeing,737 2H6C,B732,21109,,L2J,Aerosucre,AEROSUCRE,KRE,,Aerosucre,,,,,,,,,False,False,False,,
8066,8a04ce,PK-LBS,BOEING,Boeing,737NG 8GP/W,B738,39827,,L2J,,,,,Batik Air,,,,,,,,,False,False,False,,
8067,89639b,A6-EOB,AIRBUS,Airbus,A380 861,A388,164,,L4J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,False,False,False,,
8068,760985,AP-BLE,BOEING,Boeing,737 322,B733,24672,,L2J,Air Indus,AIPL,AI0,PP,Air Indus,,,,,,,,,False,False,False,,
8069,aaad49,N7873A,BOEING,Boeing,737-7Q8,B737,29350,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2029-12-31,,2004-01-01,,,CFM INTL CFM56-7B24,False,False,False,,
8070,78092c,B-5701,BOEING,Boeing,737NG 89P/W,B738,39722,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,False,False,False,,
8071,0c203b,HP-1535CMP,BOEING,Boeing,737NG 8V3/W,B738,35126,2805,L2J,Copa Airlines,COPA,CMP,CM,Copa Airlines,,2009-02-12,,,2009-01-01,,,,False,False,False,,
8072,780e4b,B-6488,BOEING,Boeing,737NG 85C/W,B738,41396,,L2J,,XIAMEN AIR,CXA,,Xiamen Airlines,,,,,,,,,False,False,False,,
8073,39cea6,F-HTVG,BOEING,Boeing,737NG 800/W,B738,62156,,L2J,,FRENCH SUN,TVF,,Transavia France,,,,,,,,,False,False,False,,
8074,885224,HS-TQD,BOEING,Boeing,787 8,B788,35320,,L2J,,THAI,THA,,Thai Airways International,,,,,,,,,False,False,False,,
8075,3c65a7,D-AIMG,AIRBUS,Airbus,A380 841,A388,69,,L4J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
8076,a61aab,N49255,STEARMAN,Boeing,A75N1(PT17),ST75,75-691,,L1P,,,,,Butler John E,,,2030-04-30,,1941-01-01,,,P & W R-985-AN-14B,False,False,False,,
8077,4b1a1e,HB-JXE,AIRBUS,Airbus,A320-214,A320,5785,,L2J,Easyjet Switzerland Sa,,,,Easyjet Airline Company Limited,,2015-11-26,,,2013-01-01,,,SNECMA CFM56-5B4/3,False,False,False,,
8078,400187,VP-BUH,BOEING,Boeing,Boeing 757 231,B752,30339,,L2J,,UZBEK,UZB,,Uzbekistan Airways,,,,,,,,,False,False,False,,
8079,4b1616,HB-IJM,AIRBUS,Airbus,A320-214,A320,635,,L2J,Swiss International Air Lines,SWISS,SWR,LX,Swiss International Air Lines Ltd.,,1996-11-29,,,1996-01-01,,,SNECMA CFM56-5B4/P,False,False,False,,
8080,ab8c19,N843MH,BOEING,Boeing,767-432ER,B764,29716,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-09-30,,2002-01-01,,,GE CF6-80 SERIES,False,False,False,,
8081,a37d66,N324CH,BOEING,Boeing,737-7ET,B737,33010,,L2J,,,,,N324ch Llc,,,2028-02-29,,2001-01-01,,,CFM INTL CFM56-7B27/B3,False,False,False,,
8082,06a02c,A7-ACE,AIRBUS,Airbus,Airbus A330 202,A332,571,,L2J,,QATARI,QTR,,Qatar Airways,,,,,,,,,False,False,False,,
8083,abc7a3,N8581Z,BOEING,Boeing,737-800,B738,64348,,L2J,,,,,Bank Of Utah Trustee,,,2027-06-30,,2018-01-01,,,CFM INTL CFM56-7B27E/F,False,False,False,,
8084,4bcdca,TC-SNJ,BOEING,Boeing,Boeing 737NG 86J/W,B738,30827,,L2J,,SUNEXPRESS,SXS,,Sunexpress,,,,,,,,,False,False,False,,
8085,780a66,B-KQR,BOEING,Boeing,777 367ER,B77W,41759,,L2J,,CATHAY,CPA,,Cathay Pacific Airways,,,,,,,,,False,False,False,,
8086,a3deca,N349AN,BOEING,Boeing,767 323ER/W,B763,33088,,L2J,,AMERICAN,AAL,,American Airlines,,,,,,,,,False,False,False,,
8087,ab498c,N8260Q,STEARMAN,Boeing,A75N1(PT17),ST75,IA-65BS01,,L1P,,,,,Robert J Robinson Aircraft Inc,,,2027-12-31,,1940-01-01,,,P&W R-985 SERIES,False,False,False,,
8088,7802d1,B-2115,BOEING,Boeing,737 36NSF,B733,28606,,L2J,,,,,Suparna Airlines,,,,,,,,,False,False,False,,
8089,a9979f,N717SA,BOEING,Boeing,737-7H4,B737,27851,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2028-02-29,,1998-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,
8090,4d20bc,9H-VVB,BOEING,Boeing,Boeing 737 4K5,B734,24901,,L2J,,,,,Vvb Aviation Malta,,,,,,,,,False,False,False,,
8091,780b5c,B-5850,BOEING,Boeing,737NG 89L/W,B738,41311,,L2J,,,,,Dalian Airlines,,,,,,,,,False,False,False,,
8092,4bbc82,TC-ODB,AIRBUS,Airbus,A320 232,A320,580,,L2J,,ONUR AIR,OHY,,Onur Air,,,,,,,,,False,False,False,,
8093,e0638b,LV-FNK,AIRBUS,Airbus,A330 223,A332,358,,L2J,,ARGENTINA,ARG,,Aerolineas Argentinas,,,,,,,,,False,False,False,,
8094,a67ea7,N5176N,STEARMAN,Boeing,E75,ST75,75-5379,,L1P,,,,,Whittock Tyson H,,,2028-09-30,,,,,LYCOMING R680,False,False,False,,
8095,aa2457,N75236,STEARMAN,Boeing,B75N1,ST75,75-6657,,L1P,,,,,Migura David G,,,2027-11-30,,1942-01-01,,,CONT MOTOR R670-SERIES,False,False,False,,
8096,70c0f5,A4O-OVC,AIRBUS,Airbus,A320 214,A320,3111,,L2J,,,,,Salam Air,,,,,,,,,False,False,False,,
8097,a47903,N388AA,BOEING,Boeing,767 323ER/W,B763,27448,,L2J,,AMERICAN,AAL,,American Airlines,,,,,,,,,False,False,False,,
